Color         	Position	Sample Name	Gene Name	Cq   	Concentration	Call    	Excluded 	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye         	Edited Call	Slope	EPF 	Failure	Notes	Sample Prep Notes	Number
155;67;123;181	B1      	Sample 13  	None     	25.53	-            	Positive	Unchecked	Unknown    	-       	25.53  	0.00    	-                 	-                  	               	SYBR Green I	           	1.47 	4.84	None   	     	                 	13    
155;67;123;181	B2      	Sample 14  	None     	26.66	-            	Positive	Unchecked	Unknown    	-       	26.66  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.07	None   	     	                 	14    
155;67;123;181	B3      	Sample 15  	None     	27.26	-            	Positive	Unchecked	Unknown    	-       	27.26  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.02	None   	     	                 	15    
155;67;123;181	B4      	Sample 16  	None     	27.04	-            	Positive	Unchecked	Unknown    	-       	27.04  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.37	None   	     	                 	16    
155;67;123;181	B5      	Sample 17  	None     	28.68	-            	Positive	Unchecked	Unknown    	-       	28.68  	0.00    	-                 	-                  	               	SYBR Green I	           	1.37 	4.60	None   	     	                 	17    
155;67;123;181	B6      	Sample 18  	None     	29.71	-            	Positive	Unchecked	Unknown    	-       	29.71  	0.00    	-                 	-                  	               	SYBR Green I	           	1.15 	4.05	None   	     	                 	18    
155;67;123;181	B7      	Sample 19  	None     	31.45	-            	Positive	Unchecked	Unknown    	-       	31.45  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.07	None   	     	                 	19    
155;67;123;181	B8      	Sample 20  	None     	29.69	-            	Positive	Unchecked	Unknown    	-       	29.69  	0.00    	-                 	-                  	               	SYBR Green I	           	1.25 	4.23	None   	     	                 	20    
155;67;123;181	B9      	Sample 21  	None     	23.88	-            	Positive	Unchecked	Unknown    	-       	23.88  	0.00    	-                 	-                  	               	SYBR Green I	           	1.36 	4.73	None   	     	                 	21    
155;67;123;181	B10     	Sample 22  	None     	24.64	-            	Positive	Unchecked	Unknown    	-       	24.64  	0.00    	-                 	-                  	               	SYBR Green I	           	1.17 	4.10	None   	     	                 	22    
155;67;123;181	B11     	Sample 23  	None     	25.43	-            	Positive	Unchecked	Unknown    	-       	25.43  	0.00    	-                 	-                  	               	SYBR Green I	           	1.15 	4.11	None   	     	                 	23    
155;67;123;181	B12     	Sample 24  	None     	25.51	-            	Positive	Unchecked	Unknown    	-       	25.51  	0.00    	-                 	-                  	               	SYBR Green I	           	1.19 	4.50	None   	     	                 	24    
155;67;123;181	C1      	Sample 25  	None     	25.04	-            	Positive	Unchecked	Unknown    	-       	25.04  	0.00    	-                 	-                  	               	SYBR Green I	           	1.31 	4.62	None   	     	                 	25    
155;67;123;181	C2      	Sample 26  	None     	25.46	-            	Positive	Unchecked	Unknown    	-       	25.46  	0.00    	-                 	-                  	               	SYBR Green I	           	1.17 	4.12	None   	     	                 	26    
155;67;123;181	C3      	Sample 27  	None     	26.18	-            	Positive	Unchecked	Unknown    	-       	26.18  	0.00    	-                 	-                  	               	SYBR Green I	           	1.08 	3.96	None   	     	                 	27    
155;67;123;181	C4      	Sample 28  	None     	26.84	-            	Positive	Unchecked	Unknown    	-       	26.84  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.26	None   	     	                 	28    
155;67;123;181	C5      	Sample 29  	None     	23.34	-            	Positive	Unchecked	Unknown    	-       	23.34  	0.00    	-                 	-                  	               	SYBR Green I	           	1.04 	4.13	None   	     	                 	29    
155;67;123;181	C6      	Sample 30  	None     	23.34	-            	Positive	Unchecked	Unknown    	-       	23.34  	0.00    	-                 	-                  	               	SYBR Green I	           	0.98 	3.74	None   	     	                 	30    
155;67;123;181	C7      	Sample 31  	None     	24.19	-            	Positive	Unchecked	Unknown    	-       	24.19  	0.00    	-                 	-                  	               	SYBR Green I	           	0.97 	3.76	None   	     	                 	31    
155;67;123;181	C8      	Sample 32  	None     	25.65	-            	Positive	Unchecked	Unknown    	-       	25.65  	0.00    	-                 	-                  	               	SYBR Green I	           	0.91 	3.79	None   	     	                 	32    
155;67;123;181	C9      	Sample 33  	None     	23.93	-            	Positive	Unchecked	Unknown    	-       	23.93  	0.00    	-                 	-                  	               	SYBR Green I	           	1.05 	4.12	None   	     	                 	33    
155;67;123;181	C10     	Sample 34  	None     	24.64	-            	Positive	Unchecked	Unknown    	-       	24.64  	0.00    	-                 	-                  	               	SYBR Green I	           	0.94 	3.61	None   	     	                 	34    
155;67;123;181	C11     	Sample 35  	None     	25.10	-            	Positive	Unchecked	Unknown    	-       	25.10  	0.00    	-                 	-                  	               	SYBR Green I	           	1.09 	4.00	None   	     	                 	35    
155;67;123;181	C12     	Sample 36  	None     	26.66	-            	Positive	Unchecked	Unknown    	-       	26.66  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.15	None   	     	                 	36    
155;67;123;181	D1      	Sample 37  	None     	24.63	-            	Positive	Unchecked	Unknown    	-       	24.63  	0.00    	-                 	-                  	               	SYBR Green I	           	1.58 	5.01	None   	     	                 	37    
155;67;123;181	D2      	Sample 38  	None     	25.78	-            	Positive	Unchecked	Unknown    	-       	25.78  	0.00    	-                 	-                  	               	SYBR Green I	           	1.26 	4.27	None   	     	                 	38    
155;67;123;181	D3      	Sample 39  	None     	26.45	-            	Positive	Unchecked	Unknown    	-       	26.45  	0.00    	-                 	-                  	               	SYBR Green I	           	1.23 	4.26	None   	     	                 	39    
155;67;123;181	D4      	Sample 40  	None     	27.24	-            	Positive	Unchecked	Unknown    	-       	27.24  	0.00    	-                 	-                  	               	SYBR Green I	           	1.22 	4.37	None   	     	                 	40    
155;67;123;181	D5      	Sample 41  	None     	23.79	-            	Positive	Unchecked	Unknown    	-       	23.79  	0.00    	-                 	-                  	               	SYBR Green I	           	1.39 	4.79	None   	     	                 	41    
155;67;123;181	D6      	Sample 42  	None     	24.84	-            	Positive	Unchecked	Unknown    	-       	24.84  	0.00    	-                 	-                  	               	SYBR Green I	           	1.21 	4.22	None   	     	                 	42    
155;67;123;181	D7      	Sample 43  	None     	25.93	-            	Positive	Unchecked	Unknown    	-       	25.93  	0.00    	-                 	-                  	               	SYBR Green I	           	1.24 	4.31	None   	     	                 	43    
155;67;123;181	D8      	Sample 44  	None     	28.01	-            	Positive	Unchecked	Unknown    	-       	28.01  	0.00    	-                 	-                  	               	SYBR Green I	           	1.18 	4.17	None   	     	                 	44    
155;67;123;181	D9      	Sample 45  	None     	23.61	-            	Positive	Unchecked	Unknown    	-       	23.61  	0.00    	-                 	-                  	               	SYBR Green I	           	1.23 	4.52	None   	     	                 	45    
155;67;123;181	D10     	Sample 46  	None     	24.44	-            	Positive	Unchecked	Unknown    	-       	24.44  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.01	None   	     	                 	46    
155;67;123;181	D11     	Sample 47  	None     	25.11	-            	Positive	Unchecked	Unknown    	-       	25.11  	0.00    	-                 	-                  	               	SYBR Green I	           	1.15 	4.12	None   	     	                 	47    
155;67;123;181	D12     	Sample 48  	None     	26.87	-            	Positive	Unchecked	Unknown    	-       	26.87  	0.00    	-                 	-                  	               	SYBR Green I	           	1.14 	4.21	None   	     	                 	48    
155;67;123;181	E1      	Sample 49  	None     	23.77	-            	Positive	Unchecked	Unknown    	-       	23.77  	0.00    	-                 	-                  	               	SYBR Green I	           	1.39 	4.77	None   	     	                 	49    
155;67;123;181	E2      	Sample 50  	None     	24.93	-            	Positive	Unchecked	Unknown    	-       	24.93  	0.00    	-                 	-                  	               	SYBR Green I	           	1.28 	4.32	None   	     	                 	50    
155;67;123;181	E3      	Sample 51  	None     	25.41	-            	Positive	Unchecked	Unknown    	-       	25.41  	0.00    	-                 	-                  	               	SYBR Green I	           	1.22 	4.25	None   	     	                 	51    
155;67;123;181	E4      	Sample 52  	None     	26.42	-            	Positive	Unchecked	Unknown    	-       	26.42  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.32	None   	     	                 	52    
155;67;123;181	E5      	Sample 53  	None     	23.66	-            	Positive	Unchecked	Unknown    	-       	23.66  	0.00    	-                 	-                  	               	SYBR Green I	           	1.14 	4.38	None   	     	                 	53    
155;67;123;181	E6      	Sample 54  	None     	23.89	-            	Positive	Unchecked	Unknown    	-       	23.89  	0.00    	-                 	-                  	               	SYBR Green I	           	1.03 	3.88	None   	     	                 	54    
155;67;123;181	E7      	Sample 55  	None     	24.87	-            	Positive	Unchecked	Unknown    	-       	24.87  	0.00    	-                 	-                  	               	SYBR Green I	           	0.89 	3.57	None   	     	                 	55    
155;67;123;181	E8      	Sample 56  	None     	26.40	-            	Positive	Unchecked	Unknown    	-       	26.40  	0.00    	-                 	-                  	               	SYBR Green I	           	0.92 	3.83	None   	     	                 	56    
155;67;123;181	E9      	Sample 57  	None     	25.52	-            	Positive	Unchecked	Unknown    	-       	25.52  	0.00    	-                 	-                  	               	SYBR Green I	           	1.02 	4.06	None   	     	                 	57    
155;67;123;181	E10     	Sample 58  	None     	25.73	-            	Positive	Unchecked	Unknown    	-       	25.73  	0.00    	-                 	-                  	               	SYBR Green I	           	1.10 	3.97	None   	     	                 	58    
155;67;123;181	E11     	Sample 59  	None     	26.69	-            	Positive	Unchecked	Unknown    	-       	26.69  	0.00    	-                 	-                  	               	SYBR Green I	           	1.11 	4.02	None   	     	                 	59    
155;67;123;181	E12     	Sample 60  	None     	23.88	-            	Positive	Unchecked	Unknown    	-       	23.88  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.61	None   	     	                 	60    
155;67;123;181	F1      	Sample 61  	None     	24.06	-            	Positive	Unchecked	Unknown    	-       	24.06  	0.00    	-                 	-                  	               	SYBR Green I	           	1.44 	4.82	None   	     	                 	61    
155;67;123;181	F2      	Sample 62  	None     	24.91	-            	Positive	Unchecked	Unknown    	-       	24.91  	0.00    	-                 	-                  	               	SYBR Green I	           	1.23 	4.23	None   	     	                 	62    
155;67;123;181	F3      	Sample 63  	None     	25.57	-            	Positive	Unchecked	Unknown    	-       	25.57  	0.00    	-                 	-                  	               	SYBR Green I	           	1.17 	4.16	None   	     	                 	63    
155;67;123;181	F4      	Sample 64  	None     	26.51	-            	Positive	Unchecked	Unknown    	-       	26.51  	0.00    	-                 	-                  	               	SYBR Green I	           	1.20 	4.40	None   	     	                 	64    
155;67;123;181	F5      	Sample 65  	None     	24.15	-            	Positive	Unchecked	Unknown    	-       	24.15  	0.00    	-                 	-                  	               	SYBR Green I	           	1.34 	4.73	None   	     	                 	65    
155;67;123;181	F6      	Sample 66  	None     	24.53	-            	Positive	Unchecked	Unknown    	-       	24.53  	0.00    	-                 	-                  	               	SYBR Green I	           	1.16 	4.10	None   	     	                 	66    
155;67;123;181	F7      	Sample 67  	None     	25.61	-            	Positive	Unchecked	Unknown    	-       	25.61  	0.00    	-                 	-                  	               	SYBR Green I	           	1.09 	4.00	None   	     	                 	67    
155;67;123;181	F8      	Sample 68  	None     	27.24	-            	Positive	Unchecked	Unknown    	-       	27.24  	0.00    	-                 	-                  	               	SYBR Green I	           	1.12 	4.10	None   	     	                 	68    
155;67;123;181	F9      	Sample 69  	None     	26.50	-            	Positive	Unchecked	Unknown    	-       	26.50  	0.00    	-                 	-                  	               	SYBR Green I	           	1.17 	4.36	None   	     	                 	69    
155;67;123;181	F10     	Sample 70  	None     	26.51	-            	Positive	Unchecked	Unknown    	-       	26.51  	0.00    	-                 	-                  	               	SYBR Green I	           	1.04 	3.84	None   	     	                 	70    
155;67;123;181	F11     	Sample 71  	None     	27.44	-            	Positive	Unchecked	Unknown    	-       	27.44  	0.00    	-                 	-                  	               	SYBR Green I	           	1.09 	3.97	None   	     	                 	71    
155;67;123;181	F12     	Sample 72  	None     	24.39	-            	Positive	Unchecked	Unknown    	-       	24.39  	0.00    	-                 	-                  	               	SYBR Green I	           	0.99 	4.31	None   	     	                 	72    
155;67;123;181	G1      	Sample 73  	None     	23.72	-            	Positive	Unchecked	Unknown    	-       	23.72  	0.00    	-                 	-                  	               	SYBR Green I	           	1.43 	4.83	None   	     	                 	73    
155;67;123;181	G2      	Sample 74  	None     	23.97	-            	Positive	Unchecked	Unknown    	-       	23.97  	0.00    	-                 	-                  	               	SYBR Green I	           	1.15 	4.08	None   	     	                 	74    
155;67;123;181	G3      	Sample 75  	None     	24.69	-            	Positive	Unchecked	Unknown    	-       	24.69  	0.00    	-                 	-                  	               	SYBR Green I	           	1.14 	4.10	None   	     	                 	75    
155;67;123;181	G4      	Sample 76  	None     	25.84	-            	Positive	Unchecked	Unknown    	-       	25.84  	0.00    	-                 	-                  	               	SYBR Green I	           	1.19 	4.39	None   	     	                 	76    
155;67;123;181	G5      	Sample 77  	None     	23.07	-            	Positive	Unchecked	Unknown    	-       	23.07  	0.00    	-                 	-                  	               	SYBR Green I	           	1.28 	4.62	None   	     	                 	77    
155;67;123;181	G6      	Sample 78  	None     	23.13	-            	Positive	Unchecked	Unknown    	-       	23.13  	0.00    	-                 	-                  	               	SYBR Green I	           	1.10 	4.00	None   	     	                 	78    
155;67;123;181	G7      	Sample 79  	None     	24.00	-            	Positive	Unchecked	Unknown    	-       	24.00  	0.00    	-                 	-                  	               	SYBR Green I	           	1.10 	4.03	None   	     	                 	79    
155;67;123;181	G8      	Sample 80  	None     	25.57	-            	Positive	Unchecked	Unknown    	-       	25.57  	0.00    	-                 	-                  	               	SYBR Green I	           	1.17 	4.34	None   	     	                 	80    
155;67;123;181	G9      	Sample 81  	None     	24.18	-            	Positive	Unchecked	Unknown    	-       	24.18  	0.00    	-                 	-                  	               	SYBR Green I	           	1.15 	4.37	None   	     	                 	81    
155;67;123;181	G10     	Sample 82  	None     	24.39	-            	Positive	Unchecked	Unknown    	-       	24.39  	0.00    	-                 	-                  	               	SYBR Green I	           	0.87 	3.42	None   	     	                 	82    
155;67;123;181	G11     	Sample 83  	None     	25.42	-            	Positive	Unchecked	Unknown    	-       	25.42  	0.00    	-                 	-                  	               	SYBR Green I	           	1.06 	3.94	None   	     	                 	83    
155;67;123;181	G12     	Sample 84  	None     	26.47	-            	Positive	Unchecked	Unknown    	-       	26.47  	0.00    	-                 	-                  	               	SYBR Green I	           	0.70 	3.28	None   	     	                 	84    
155;67;123;181	H1      	Sample 85  	None     	24.36	-            	Positive	Unchecked	Unknown    	-       	24.36  	0.00    	-                 	-                  	               	SYBR Green I	           	1.49 	4.90	None   	     	                 	85    
155;67;123;181	H2      	Sample 86  	None     	24.53	-            	Positive	Unchecked	Unknown    	-       	24.53  	0.00    	-                 	-                  	               	SYBR Green I	           	1.20 	4.19	None   	     	                 	86    
155;67;123;181	H3      	Sample 87  	None     	25.06	-            	Positive	Unchecked	Unknown    	-       	25.06  	0.00    	-                 	-                  	               	SYBR Green I	           	1.27 	4.34	None   	     	                 	87    
155;67;123;181	H4      	Sample 88  	None     	26.68	-            	Positive	Unchecked	Unknown    	-       	26.68  	0.00    	-                 	-                  	               	SYBR Green I	           	1.27 	4.42	None   	     	                 	88    
155;67;123;181	H5      	Sample 89  	None     	24.03	-            	Positive	Unchecked	Unknown    	-       	24.03  	0.00    	-                 	-                  	               	SYBR Green I	           	1.42 	4.82	None   	     	                 	89    
155;67;123;181	H6      	Sample 90  	None     	23.57	-            	Positive	Unchecked	Unknown    	-       	23.57  	0.00    	-                 	-                  	               	SYBR Green I	           	1.22 	4.27	None   	     	                 	90    
155;67;123;181	H7      	Sample 91  	None     	25.01	-            	Positive	Unchecked	Unknown    	-       	25.01  	0.00    	-                 	-                  	               	SYBR Green I	           	1.20 	4.23	None   	     	                 	91    
155;67;123;181	H8      	Sample 92  	None     	26.41	-            	Positive	Unchecked	Unknown    	-       	26.41  	0.00    	-                 	-                  	               	SYBR Green I	           	1.27 	4.42	None   	     	                 	92    
155;67;123;181	H9      	Sample 93  	None     	-    	-            	Negative	Unchecked	Unknown    	-       	-      	-       	-                 	-                  	               	SYBR Green I	           	0.01 	0.21	None   	     	                 	93    
155;67;123;181	H10     	Sample 94  	None     	-    	-            	Negative	Unchecked	Unknown    	-       	-      	-       	-                 	-                  	               	SYBR Green I	           	0.01 	0.14	None   	     	                 	94    
155;67;123;181	H11     	Sample 95  	None     	25.14	-            	Positive	Unchecked	Unknown    	-       	25.14  	0.00    	-                 	-                  	               	SYBR Green I	           	0.56 	2.70	None   	     	                 	95    
155;67;123;181	H12     	Sample 96  	None     	27.09	-            	Positive	Unchecked	Unknown    	-       	27.09  	0.00    	-                 	-                  	               	SYBR Green I	           	0.60 	2.89	None   	     	                 	96    
